,Date,Research & Development Cost,Revenue,Ticker,Total Operating Expences,Name,EmployeeCount,GlobalParty
118,12/31/2015,95598000.0,26061000.0,AKAO,52634000.0,"ACHAOGEN, INC.",286,1 ACHAOGEN INC
119,12/31/2014,95598000.0,19970000.0,AKAO,39756000.0,"ACHAOGEN, INC.",286,1 ACHAOGEN INC
162,12/31/2017,87388000.0,37833000.0,ADAP,118494000.0,ADAPTIMMUNE THERAPEUTICS PLC,398,1 ADAPTIMMUNE LTD
163,12/31/2016,63789000.0,14198000.0,ADAP,86997000.0,ADAPTIMMUNE THERAPEUTICS PLC,398,1 ADAPTIMMUNE LTD
164,12/31/2015,39852000.0,14490000.0,ADAP,57614000.0,ADAPTIMMUNE THERAPEUTICS PLC,398,1 ADAPTIMMUNE LTD
165,6/30/2015,24137000.0,9871000.0,ADAP,34512000.0,ADAPTIMMUNE THERAPEUTICS PLC,398,1 ADAPTIMMUNE LTD
174,12/31/2017,14094000.0,56112000.0,IOTS,60943000.0,ADESTO TECHNOLOGIES CORPORATION,102,2US ADESTO TECHNOLOGIES CORPORATION
175,12/31/2016,15896000.0,43968000.0,IOTS,56233000.0,ADESTO TECHNOLOGIES CORPORATION,102,2US ADESTO TECHNOLOGIES CORPORATION
176,12/31/2015,12795000.0,43259000.0,IOTS,49893000.0,ADESTO TECHNOLOGIES CORPORATION,102,2US ADESTO TECHNOLOGIES CORPORATION
177,12/31/2014,14410000.0,41465000.0,IOTS,49509000.0,ADESTO TECHNOLOGIES CORPORATION,102,2US ADESTO TECHNOLOGIES CORPORATION
182,12/31/2017,0.0,0.0,ADMA,56425.167,ADMA BIOLOGICS INC,291,1 ADMA BIOLOGICS INC
183,12/31/2016,7688.238,10661.037,ADMA,27991.432,ADMA BIOLOGICS INC,291,1 ADMA BIOLOGICS INC
184,12/31/2015,7015.946,7177.633000000001,ADMA,22691.44,ADMA BIOLOGICS INC,291,1 ADMA BIOLOGICS INC
185,12/31/2014,9517.014000000001,5915.545,ADMA,21934.077999999998,ADMA BIOLOGICS INC,291,1 ADMA BIOLOGICS INC
198,12/31/2017,0.0,0.0,ADRO,0.0,"ADURO BIOTECH, INC.",155,1 ADURO BIOTECH INC
199,12/31/2016,0.0,50681000.0,ADRO,122544000.0,"ADURO BIOTECH, INC.",155,1 ADURO BIOTECH INC
200,12/31/2015,0.0,72979000.0,ADRO,85971000.0,"ADURO BIOTECH, INC.",155,1 ADURO BIOTECH INC
201,12/31/2014,0.0,13389000.0,ADRO,32507000.0,"ADURO BIOTECH, INC.",155,1 ADURO BIOTECH INC
206,12/31/2017,57999000.0,671012000.0,AEIS,469992000.0,"ADVANCED ENERGY INDUSTRIES, INC.","1,876",1 ADVANCED ENERGY INDUSTRIES
207,12/31/2016,44445000.0,483704000.0,AEIS,356847000.0,"ADVANCED ENERGY INDUSTRIES, INC.","1,876",1 ADVANCED ENERGY INDUSTRIES
208,12/31/2015,39551000.0,414811000.0,AEIS,307957000.0,"ADVANCED ENERGY INDUSTRIES, INC.","1,876",1 ADVANCED ENERGY INDUSTRIES
209,12/31/2014,36915000.0,367333000.0,AEIS,279735000.0,"ADVANCED ENERGY INDUSTRIES, INC.","1,876",1 ADVANCED ENERGY INDUSTRIES
210,12/30/2017,1160000000.0,5329000000.0,AMD,5125000000.0,"ADVANCED MICRO DEVICES, INC.","8,900",1 ADVANCED MICRO DEVICES INC
211,12/31/2016,1008000000.0,4272000000.0,AMD,4654000000.0,"ADVANCED MICRO DEVICES, INC.","8,900",1 ADVANCED MICRO DEVICES INC
212,12/26/2015,947000000.0,3991000000.0,AMD,4343000000.0,"ADVANCED MICRO DEVICES, INC.","8,900",1 ADVANCED MICRO DEVICES INC
213,12/27/2014,1063000000.0,5506000000.0,AMD,5343000000.0,"ADVANCED MICRO DEVICES, INC.","8,900",1 ADVANCED MICRO DEVICES INC
214,10/31/2017,71585.068,12031.05,ADXS,110243.53199999999,"ADVAXIS, INC.",108,1 ADVAXIS INC
215,10/31/2016,48774.58900000001,3994.8559999999998,ADXS,80487.094,"ADVAXIS, INC.",108,1 ADVAXIS INC
216,10/31/2015,24426.967,0.0,ADXS,48670.657,"ADVAXIS, INC.",108,1 ADVAXIS INC
217,10/31/2014,8862.854,1000000.0,ADXS,20038.578,"ADVAXIS, INC.",108,1 ADVAXIS INC
219,12/31/2017,0.0,0.0,ADVM,0.0,"ADVERUM BIOTECHNOLOGIES, INC.",86,1 ADVERUM BIOTECHNOLOGIES INC
220,12/31/2016,0.0,1455000.0,ADVM,50625000.0,"ADVERUM BIOTECHNOLOGIES, INC.",86,1 ADVERUM BIOTECHNOLOGIES INC
221,12/31/2015,0.0,2319000.0,ADVM,45169000.0,"ADVERUM BIOTECHNOLOGIES, INC.",86,1 ADVERUM BIOTECHNOLOGIES INC
222,12/31/2014,0.0,572000.0,ADVM,24974000.0,"ADVERUM BIOTECHNOLOGIES, INC.",86,1 ADVERUM BIOTECHNOLOGIES INC
227,12/31/2017,0.0,5205000.0,AGLE,32881000.0,"AEGLEA BIOTHERAPEUTICS, INC.",50,1 AEGLEA BIOTHERAPEUTICS INC
228,12/31/2016,0.0,4628000.0,AGLE,26534000.0,"AEGLEA BIOTHERAPEUTICS, INC.",50,1 AEGLEA BIOTHERAPEUTICS INC
229,12/31/2015,0.0,6085000.0,AGLE,17400000.0,"AEGLEA BIOTHERAPEUTICS, INC.",50,1 AEGLEA BIOTHERAPEUTICS INC
230,12/31/2014,0.0,0.0,AGLE,8904000.0,"AEGLEA BIOTHERAPEUTICS, INC.",50,1 AEGLEA BIOTHERAPEUTICS INC
235,12/31/2017,2367000.0,150157000.0,AMTX,162340000.0,"AEMETIS, INC",139,1 AEMETIS INC
236,12/31/2016,369000.0,143158000.0,AMTX,143939000.0,"AEMETIS, INC",139,1 AEMETIS INC
237,12/31/2015,447000.0,146649000.0,AMTX,155258000.0,"AEMETIS, INC",139,1 AEMETIS INC
238,12/31/2014,459000.0,207683000.0,AMTX,183593000.0,"AEMETIS, INC",139,1 AEMETIS INC
243,4/30/2018,26433000.0,271052000.0,AVAV,238402000.0,"AEROVIRONMENT, INC.",697,1 AEROVIRONMENT
244,4/30/2017,28465000.0,228940000.0,AVAV,208526000.0,"AEROVIRONMENT, INC.",697,1 AEROVIRONMENT
245,4/30/2016,35040000.0,233738000.0,AVAV,212965000.0,"AEROVIRONMENT, INC.",697,1 AEROVIRONMENT
246,4/30/2015,46491000.0,259398000.0,AVAV,256946000.0,"AEROVIRONMENT, INC.",697,1 AEROVIRONMENT
250,12/31/2017,8148000.0,923000.0,AEZS,21441000.0,AETERNA ZENTARIS INC.,,1 AETERNA ZENTARIS INC
251,12/31/2016,16410000.0,911000.0,AEZS,30302000.0,AETERNA ZENTARIS INC.,,1 AETERNA ZENTARIS INC
252,12/31/2015,17234000.0,545000.0,AEZS,35429000.0,AETERNA ZENTARIS INC.,,1 AETERNA ZENTARIS INC
253,12/31/2014,21516000.0,11000.0,AEZS,35206000.0,AETERNA ZENTARIS INC.,,1 AETERNA ZENTARIS INC
262,12/31/2017,0.0,42877.085999999996,AGEN,149866.482,AGENUS INC.,255,1 AGENUS INC
263,12/31/2016,0.0,22573.303,AGEN,128097.069,AGENUS INC.,255,1 AGENUS INC
264,12/31/2015,0.0,24817.025,AGEN,98814.26,AGENUS INC.,255,1 AGENUS INC
265,12/31/2014,0.0,6977.455,AGEN,43599.037000000004,AGENUS INC.,255,1 AGENUS INC
330,12/31/2017,1260.378,3929.527,AKER,8780.207,AKERS BIOSCIENCES INC,32,1 AKERS BIOSCIENCES INC
331,12/31/2016,1188.868,2960.9120000000003,AKER,7435.302,AKERS BIOSCIENCES INC,32,1 AKERS BIOSCIENCES INC
332,12/31/2015,1406.895,2115.05,AKER,10031.195,AKERS BIOSCIENCES INC,32,1 AKERS BIOSCIENCES INC
333,12/31/2014,916.308,4427.174,AKER,7631.295,AKERS BIOSCIENCES INC,32,1 AKERS BIOSCIENCES INC
334,12/31/2017,44988000.0,841045000.0,AKRX,730415000.0,"AKORN, INC.","2,284",1 AKORN INC
335,12/31/2016,38753000.0,1116843000.0,AKRX,744539000.0,"AKORN, INC.","2,284",1 AKORN INC
336,12/31/2015,40707000.0,985076000.0,AKRX,658248000.0,"AKORN, INC.","2,284",1 AKORN INC
337,12/31/2014,31256000.0,555048000.0,AKRX,440594000.0,"AKORN, INC.","2,284",1 AKORN INC
358,12/31/2017,252902000.0,1619000.0,ALDR,292623000.0,"ALDER BIOPHARMACEUTICALS, INC.",193,1 ALDER BIOPHARMACEUTICALS INC
359,12/31/2016,43831000.0,113000.0,ALDR,159021000.0,"ALDER BIOPHARMACEUTICALS, INC.",193,1 ALDER BIOPHARMACEUTICALS INC
360,12/31/2015,26383000.0,0.0,ALDR,86329000.0,"ALDER BIOPHARMACEUTICALS, INC.",193,1 ALDER BIOPHARMACEUTICALS INC
361,12/31/2014,18299000.0,54705000.0,ALDR,45901000.0,"ALDER BIOPHARMACEUTICALS, INC.",193,1 ALDER BIOPHARMACEUTICALS INC
374,12/31/2017,97559000.0,1473413000.0,ALGN,1119802000.0,"ALIGN TECHNOLOGY, INC.","8,715",1 ALIGN TECHNOLOGY INC
375,12/31/2016,75720000.0,1079874000.0,ALGN,830953000.0,"ALIGN TECHNOLOGY, INC.","8,715",1 ALIGN TECHNOLOGY INC
376,12/31/2015,61237000.0,845486000.0,ALGN,656852000.0,"ALIGN TECHNOLOGY, INC.","8,715",1 ALIGN TECHNOLOGY INC
377,12/31/2014,52799000.0,761653000.0,ALGN,568077000.0,"ALIGN TECHNOLOGY, INC.","8,715",1 ALIGN TECHNOLOGY INC
386,12/31/2017,403289000.0,903374000.0,ALKS,1051274000.0,ALKERMES PLC,"2,000",1 ALKERMES INC
387,12/31/2016,378148000.0,745694000.0,ALKS,954359000.0,ALKERMES PLC,"2,000",1 ALKERMES INC
388,12/31/2015,336304000.0,628335000.0,ALKS,852636000.0,ALKERMES PLC,"2,000",1 ALKERMES INC
389,12/31/2014,265143000.0,618789000.0,ALKS,705933000.0,ALKERMES PLC,"2,000",1 ALKERMES INC
390,12/31/2017,18506000.0,0.0,ALLK,22254000.0,ALLAKOS INC.,44,1 ALLAKOS INC
391,12/31/2016,14672000.0,0.0,ALLK,17060000.0,ALLAKOS INC.,44,1 ALLAKOS INC
420,12/31/2017,0.0,0.0,ALQA,0.0,"ALLIQUA BIOMEDICAL, INC.",60,1 ALLIQUA BIOMEDICAL INC
421,12/31/2016,859000.0,16294000.0,ALQA,44328000.0,"ALLIQUA BIOMEDICAL, INC.",60,1 ALLIQUA BIOMEDICAL INC
422,12/31/2015,715000.0,12177000.0,ALQA,40282000.0,"ALLIQUA BIOMEDICAL, INC.",60,1 ALLIQUA BIOMEDICAL INC
423,12/31/2014,715000.0,4786.130999999999,ALQA,29425.963,"ALLIQUA BIOMEDICAL, INC.",60,1 ALLIQUA BIOMEDICAL INC
440,12/31/2017,16625000000.0,110855000000.0,GOOG,81973000000.0,ALPHABET INC.,"89,058",1 ALPHABET INC
441,12/31/2016,13948000000.0,90272000000.0,GOOG,66556000000.0,ALPHABET INC.,"89,058",1 ALPHABET INC
442,12/31/2015,12282000000.0,74989000000.0,GOOG,55629000000.0,ALPHABET INC.,"89,058",1 ALPHABET INC
443,12/31/2014,9832000000.0,66001000000.0,GOOG,49127000000.0,ALPHABET INC.,"89,058",1 ALPHABET INC
461,12/31/2017,0.0,10738.322,ALT,25351.463,"ALTIMMUNE, INC.",30,1 ALTIMMUNE INC
462,12/31/2016,0.0,3236.175,ALT,13656.59,"ALTIMMUNE, INC.",30,1 ALTIMMUNE INC
463,12/31/2015,0.0,4654.468,ALT,9944.633,"ALTIMMUNE, INC.",30,1 ALTIMMUNE INC
464,12/31/2014,0.0,5548.203,ALT,5446.3640000000005,"ALTIMMUNE, INC.",30,1 ALTIMMUNE INC
477,12/31/2017,47158000.0,181104000.0,AMRN,226659000.0,AMARIN CORPORATION PLC,241,1 AMARIN CORPORATION PLC
478,12/31/2016,49975000.0,130084000.0,AMRN,195710000.0,AMARIN CORPORATION PLC,241,1 AMARIN CORPORATION PLC
479,12/31/2015,51062000.0,81756000.0,AMRN,179978000.0,AMARIN CORPORATION PLC,241,1 AMARIN CORPORATION PLC
480,12/31/2014,50326000.0,54202000.0,AMRN,150157000.0,AMARIN CORPORATION PLC,241,1 AMARIN CORPORATION PLC
506,12/31/2017,5077000.0,11227000.0,AMDA,17731000.0,AMEDICA CORPORATION,33,1 AMEDICA CORPORATION
507,12/31/2016,6345000.0,15226000.0,AMDA,25909000.0,AMEDICA CORPORATION,33,1 AMEDICA CORPORATION
508,12/31/2015,6387000.0,19453000.0,AMDA,31494000.0,AMEDICA CORPORATION,33,1 AMEDICA CORPORATION
509,12/31/2014,6742000.0,22765000.0,AMDA,46932000.0,AMEDICA CORPORATION,33,1 AMEDICA CORPORATION
596,12/31/2017,3562000000.0,22849000000.0,AMGN,12431000000.0,AMGEN INC.,"20,800",1 AMGEN
597,12/31/2016,3840000000.0,22991000000.0,AMGN,13159000000.0,AMGEN INC.,"20,800",1 AMGEN
598,12/31/2015,4006000000.0,21662000000.0,AMGN,13033000000.0,AMGEN INC.,"20,800",1 AMGEN
599,12/31/2014,4248000000.0,20063000000.0,AMGN,13298000000.0,AMGEN INC.,"20,800",1 AMGEN
604,12/31/2017,118514000.0,4186497000.0,AMKR,3893293000.0,"AMKOR TECHNOLOGY, INC.","29,300",1 AMKOR TECHNOLOGY INC
605,12/31/2016,73406000.0,3893635000.0,AMKR,3599695000.0,"AMKOR TECHNOLOGY, INC.","29,300",1 AMKOR TECHNOLOGY INC
606,12/31/2015,57517000.0,2884603000.0,AMKR,2719764000.0,"AMKOR TECHNOLOGY, INC.","29,300",1 AMKOR TECHNOLOGY INC
607,12/31/2014,48364000.0,3129440000.0,AMKR,2832680000.0,"AMKOR TECHNOLOGY, INC.","29,300",1 AMKOR TECHNOLOGY INC
612,9/30/2017,6372000.0,164516000.0,ASYS,154091000.0,"AMTECH SYSTEMS, INC.",455,1 AMTECH SYSTEMS INC
613,9/30/2016,8004000.0,120308000.0,ASYS,128216000.0,"AMTECH SYSTEMS, INC.",455,1 AMTECH SYSTEMS INC
614,9/30/2015,6918000.0,104883000.0,ASYS,113821000.0,"AMTECH SYSTEMS, INC.",455,1 AMTECH SYSTEMS INC
615,9/30/2014,6291000.0,56501000.0,ASYS,68290000.0,"AMTECH SYSTEMS, INC.",455,1 AMTECH SYSTEMS INC
621,12/31/2017,0.0,143445000.0,AMRS,182960000.0,"AMYRIS, INC.",414,1 AMYRIS INC
622,12/31/2016,0.0,67192000.0,AMRS,155811000.0,"AMYRIS, INC.",414,1 AMYRIS INC
623,12/31/2015,0.0,34153000.0,AMRS,142995000.0,"AMYRIS, INC.",414,1 AMYRIS INC
624,12/31/2014,0.0,43274000.0,AMRS,138298000.0,"AMYRIS, INC.",414,1 AMYRIS INC
625,10/28/2017,968266000.0,5107503000.0,ADI,3574352000.0,"ANALOG DEVICES, INC.","15,300",1 ANALOG DEVICES INC
626,10/29/2016,654704000.0,3421409000.0,ADI,2380501000.0,"ANALOG DEVICES, INC.","15,300",1 ANALOG DEVICES INC
627,10/31/2015,637459000.0,3435092000.0,ADI,2604251000.0,"ANALOG DEVICES, INC.","15,300",1 ANALOG DEVICES INC
628,11/1/2014,559686000.0,2864773000.0,ADI,2041667000.0,"ANALOG DEVICES, INC.","15,300",1 ANALOG DEVICES INC
629,12/31/2017,0.0,0.0,ANAB,0.0,"ANAPTYSBIO, INC.",60,1 ANAPTYSBIO INC
630,12/31/2016,0.0,16684000.0,ANAB,19709000.0,"ANAPTYSBIO, INC.",60,1 ANAPTYSBIO INC
631,12/31/2015,0.0,17571000.0,ANAB,20893000.0,"ANAPTYSBIO, INC.",60,1 ANAPTYSBIO INC
632,12/31/2014,0.0,15838000.0,ANAB,10968000.0,"ANAPTYSBIO, INC.",60,1 ANAPTYSBIO INC
653,12/31/2017,18787000.0,113420000.0,ANIK,67691000.0,ANIKA THERAPEUTICS INC.,123,1 ANIKA THERAPEUTICS INC
654,12/31/2016,10732000.0,103379000.0,ANIK,52772000.0,ANIKA THERAPEUTICS INC.,123,1 ANIKA THERAPEUTICS INC
655,12/31/2015,8290000.0,92999000.0,ANIK,44168000.0,ANIKA THERAPEUTICS INC.,123,1 ANIKA THERAPEUTICS INC
656,12/31/2014,8144000.0,105595000.0,ANIK,44148000.0,ANIKA THERAPEUTICS INC.,123,1 ANIKA THERAPEUTICS INC
657,12/31/2017,202746000.0,1095250000.0,ANSS,704522000.0,"ANSYS, INC.","3,200",1 ANSYS TECHNOLOGIES INC
658,12/31/2016,183093000.0,988465000.0,ANSS,612223000.0,"ANSYS, INC.","3,200",1 ANSYS TECHNOLOGIES INC
659,12/31/2015,168831000.0,942753000.0,ANSS,589074000.0,"ANSYS, INC.","3,200",1 ANSYS TECHNOLOGIES INC
660,12/31/2014,165421000.0,936021000.0,ANSS,587471000.0,"ANSYS, INC.","3,200",1 ANSYS TECHNOLOGIES INC
702,9/30/2017,2282.362,4751.26,APDN,17317.425,APPLIED DNA SCIENCES INC,55,1 APPLIED DNA SCIENCES INC
703,9/30/2016,3700.837,4186.427,APDN,16386.285,APPLIED DNA SCIENCES INC,55,1 APPLIED DNA SCIENCES INC
704,9/30/2015,2577.3070000000002,9008.499,APDN,16678.154,APPLIED DNA SCIENCES INC,55,1 APPLIED DNA SCIENCES INC
705,9/30/2014,1300.75,2721.224,APDN,14992.765,APPLIED DNA SCIENCES INC,55,1 APPLIED DNA SCIENCES INC
707,6/30/2018,16815000.0,24186000.0,AGTC,46570000.0,APPLIED GENETIC TECHNOLOGIES CORPORATION,72,2US APPLIED GENETIC TECHNOLOGIES CO
708,6/30/2017,14991000.0,39473000.0,AGTC,37571000.0,APPLIED GENETIC TECHNOLOGIES CORPORATION,72,2US APPLIED GENETIC TECHNOLOGIES CO
709,6/30/2016,10976000.0,47361000.0,AGTC,49450000.0,APPLIED GENETIC TECHNOLOGIES CORPORATION,72,2US APPLIED GENETIC TECHNOLOGIES CO
710,6/30/2015,908000.0,2354000.0,AGTC,26886000.0,APPLIED GENETIC TECHNOLOGIES CORPORATION,72,2US APPLIED GENETIC TECHNOLOGIES CO
711,10/29/2017,1774000000.0,14537000000.0,AMAT,10669000000.0,"APPLIED MATERIALS, INC.","20,700",2US APPLIED MATERIALS INC
712,10/30/2016,1540000000.0,10825000000.0,AMAT,8675000000.0,"APPLIED MATERIALS, INC.","20,700",2US APPLIED MATERIALS INC
713,10/25/2015,1451000000.0,9659000000.0,AMAT,7956000000.0,"APPLIED MATERIALS, INC.","20,700",2US APPLIED MATERIALS INC
714,10/26/2014,1428000000.0,9072000000.0,AMAT,7508000000.0,"APPLIED MATERIALS, INC.","20,700",2US APPLIED MATERIALS INC
715,12/31/2017,35365000.0,382329000.0,AAOI,294919000.0,"APPLIED OPTOELECTRONICS, INC.","3,054",1 APPLIED OPTOELECTRONICS INC
716,12/31/2016,31780000.0,260713000.0,AAOI,237693000.0,"APPLIED OPTOELECTRONICS, INC.","3,054",1 APPLIED OPTOELECTRONICS INC
717,12/31/2015,20852000.0,189903000.0,AAOI,176454000.0,"APPLIED OPTOELECTRONICS, INC.","3,054",1 APPLIED OPTOELECTRONICS INC
718,12/31/2014,15970000.0,130449000.0,AAOI,125311000.0,"APPLIED OPTOELECTRONICS, INC.","3,054",1 APPLIED OPTOELECTRONICS INC
727,12/31/2017,0.0,0.0,APRI,0.0,"APRICUS BIOSCIENCES, INC.",11,1 APRICUS BIOSCIENCES INC
728,12/31/2016,5880000.0,0.0,APRI,13658000.0,"APRICUS BIOSCIENCES, INC.",11,1 APRICUS BIOSCIENCES INC
729,12/31/2015,14649000.0,4839000.0,APRI,26087000.0,"APRICUS BIOSCIENCES, INC.",11,1 APRICUS BIOSCIENCES INC
730,12/31/2014,7688000.0,9259000.0,APRI,20024000.0,"APRICUS BIOSCIENCES, INC.",11,1 APRICUS BIOSCIENCES INC
737,12/31/2017,6274000.0,0.0,APTO,11826000.0,"APTOSE BIOSCIENCES, INC.",18,1 APTOSE BIOSCIENCES INC
738,12/31/2016,7834000.0,0.0,APTO,14273000.0,"APTOSE BIOSCIENCES, INC.",18,1 APTOSE BIOSCIENCES INC
739,1/1/2016,4865000.0,0.0,APTO,12857000.0,"APTOSE BIOSCIENCES, INC.",18,1 APTOSE BIOSCIENCES INC
740,12/31/2014,4121.144,0.0,APTO,13621.716999999999,"APTOSE BIOSCIENCES, INC.",18,1 APTOSE BIOSCIENCES INC
773,12/31/2017,14076000.0,0.0,ABIO,18712000.0,"ARCA BIOPHARMA, INC.",20,1 ARCA BIOPHARMA INC
774,12/31/2016,12348000.0,0.0,ABIO,16613000.0,"ARCA BIOPHARMA, INC.",20,1 ARCA BIOPHARMA INC
775,12/31/2015,7063000.0,0.0,ABIO,11455000.0,"ARCA BIOPHARMA, INC.",20,1 ARCA BIOPHARMA INC
776,12/31/2014,5625000.0,0.0,ABIO,9693000.0,"ARCA BIOPHARMA, INC.",20,1 ARCA BIOPHARMA INC
777,12/31/2017,0.0,4026000.0,RKDA,18341000.0,"ARCADIA BIOSCIENCES, INC.",42,1 ARCADIA BIOSCIENCES INC
778,12/31/2016,0.0,3188000.0,RKDA,20384000.0,"ARCADIA BIOSCIENCES, INC.",42,1 ARCADIA BIOSCIENCES INC
779,12/31/2015,0.0,5414000.0,RKDA,20977000.0,"ARCADIA BIOSCIENCES, INC.",42,1 ARCADIA BIOSCIENCES INC
780,12/31/2014,0.0,6982000.0,RKDA,20635000.0,"ARCADIA BIOSCIENCES, INC.",42,1 ARCADIA BIOSCIENCES INC
792,12/31/2017,0.0,12998000.0,ARCT,23490000.0,ARCTURUS THERAPEUTICS LTD.,60,1 ARCTURUS THERAPEUTICS INC
793,12/31/2016,0.0,20382000.0,ARCT,21382000.0,ARCTURUS THERAPEUTICS LTD.,60,1 ARCTURUS THERAPEUTICS INC
794,12/31/2015,0.0,6138000.0,ARCT,8050000.0,ARCTURUS THERAPEUTICS LTD.,60,1 ARCTURUS THERAPEUTICS INC
795,12/31/2017,0.0,42000000.0,ARDX,107115000.0,"ARDELYX, INC.",75,1 ARDELYX INC
796,12/31/2016,0.0,0.0,ARDX,112895000.0,"ARDELYX, INC.",75,1 ARDELYX INC
797,12/31/2015,0.0,24026000.0,ARDX,53415000.0,"ARDELYX, INC.",75,1 ARDELYX INC
798,12/31/2014,0.0,31623000.0,ARDX,33187000.0,"ARDELYX, INC.",75,1 ARDELYX INC
815,12/31/2017,0.0,860000.0,ARDS,20598000.0,ARIDIS PHARMACEUTICALS INC.,25,1 ARIDIS PHARMACEUTICALS LLC
